country,name,region,income,year,le,startLE,percentage,x,female,male,lat,lng
ABW,Aruba,Latin America & Caribbean,High income,1960,65.56936585,65.56936585,0,65.56936585,67.129,64.084,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1961,65.98802439,65.56936585,0.006384972,66.56936585,67.625,64.429,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1962,66.36553659,65.56936585,0.012142419,67.56936585,68.065,64.747,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1963,66.71397561,65.56936585,0.017456471,68.56936585,68.458,65.053,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1964,67.04429268,65.56936585,0.022494145,69.56936585,68.817,65.356,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1965,67.3697561,65.56936585,0.027457796,70.56936585,69.165,65.66,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1966,67.699,65.56936585,0.032479102,71.56936585,69.526,65.959,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1967,68.03468293,65.56936585,0.037598611,72.56936585,69.917,66.242,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1968,68.37714634,65.56936585,0.042821529,73.56936585,70.345,66.503,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1969,68.72841463,65.56936585,0.04817873,74.56936585,70.811,66.745,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1970,69.08614634,65.56936585,0.053634505,75.56936585,71.306,66.972,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1971,69.44609756,65.56936585,0.05912413,76.56936585,71.815,67.19,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1972,69.79914634,65.56936585,0.064508486,77.56936585,72.313,67.405,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1973,70.13965854,65.56936585,0.069701645,78.56936585,72.779,67.626,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1974,70.46529268,65.56936585,0.0746679,79.56936585,73.204,67.857,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1975,70.77780488,65.56936585,0.079434031,80.56936585,73.579,68.11,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1976,71.08082927,65.56936585,0.084055463,81.56936585,73.902,68.394,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1977,71.37770732,65.56936585,0.088583158,82.56936585,74.183,68.706,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1978,71.66978049,65.56936585,0.093037573,83.56936585,74.43,69.041,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1979,71.95285366,65.56936585,0.097354728,84.56936585,74.647,69.387,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1980,72.22014634,65.56936585,0.101431216,85.56936585,74.839,69.726,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1981,72.46234146,65.56936585,0.105124939,86.56936585,75.01,70.036,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1982,72.67319512,65.56936585,0.108340674,87.56936585,75.164,70.301,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1983,72.84902439,65.56936585,0.11102225,88.56936585,75.305,70.51,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1984,72.9897561,65.56936585,0.113168553,89.56936585,75.436,70.66,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1985,73.09797561,65.56936585,0.114819011,90.56936585,75.556,70.757,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1986,73.17936585,65.56936585,0.116060296,91.56936585,75.663,70.814,12.556,-70.024
ABW,Aruba,Latin America & Caribbean,High income,1987,73.24270732,65.56936585,0.117026318,92.56936585,75.754,70.851,12.556,-70.024
